date,daily_revenue,avg_transaction,num_transactions,total_quantity,avg_quantity,unique_customers,revenue_ma7,revenue_ma30
2021-01-01,268491.94,2581.653269230769,104,333,3.1714285714285713,105,,
2021-01-02,303612.07,2282.7975187969923,133,387,2.888059701492537,134,,
2021-01-03,372950.91,2762.599333333333,135,405,2.9562043795620436,137,,
2021-01-04,284512.26,2390.8593277310924,119,379,3.1848739495798317,119,,
2021-01-05,300545.93,2568.7686324786323,117,374,3.1166666666666667,120,,
2021-01-06,394505.44,2595.4305263157894,152,459,2.9612903225806453,155,,
2021-01-07,335760.59,2450.8072262773726,137,402,2.9130434782608696,138,322911.30571428576,
2021-01-08,292797.72,2546.0671304347825,115,337,2.9051724137931036,116,326383.56,
2021-01-09,236299.01,2208.4019626168224,107,322,3.0093457943925235,107,316767.40857142856,
2021-01-10,336586.02,2852.423898305085,118,351,2.9495798319327733,119,311572.42428571434,
2021-01-11,301889.67,2558.387033898305,118,344,2.9152542372881354,118,314054.9114285714,
2021-01-12,347159.75,2892.9979166666667,120,378,3.12396694214876,121,320714.02857142856,
2021-01-13,347173.04,3127.6850450450447,111,369,3.294642857142857,112,313952.2571428571,
2021-01-14,252972.16,1976.345,128,378,2.9076923076923076,130,302125.3385714286,
2021-01-15,331333.77,2807.913305084746,118,371,3.040983606557377,122,307630.4885714286,
2021-01-16,300059.27,2362.6714173228347,127,383,2.9461538461538463,130,316739.09714285715,
2021-01-17,237321.71,1898.57368,125,362,2.873015873015873,126,302558.48142857145,
2021-01-18,253766.8,2030.1344,125,373,2.9140625,128,295683.78571428574,
2021-01-19,269119.41,2261.5076470588233,119,371,3.0661157024793386,121,284535.1657142857,
2021-01-20,375762.33,3105.4738016528927,121,400,3.252032520325203,123,288619.35000000003,
2021-01-21,318955.53,2416.329772727273,132,384,2.8656716417910446,134,298045.54571428575,
2021-01-22,371921.16,2999.364193548387,124,408,3.264,125,303843.7442857143,
2021-01-23,277744.9,2153.0612403100777,129,373,2.891472868217054,129,300655.9771428571,
2021-01-24,277517.45,2238.043951612903,124,347,2.7983870967741935,124,306398.22571428574,
2021-01-25,306024.77999999997,2529.1304132231403,121,379,3.1065573770491803,122,313863.65142857144,
