date,temperature_2m_max,temperature_2m_min,rain_sum
2021-01-01 00:00:00+00:00,13.806,7.756,4.2
2021-01-02 00:00:00+00:00,15.906,5.656,0.0
2021-01-03 00:00:00+00:00,14.456,8.2560005,0.2
2021-01-04 00:00:00+00:00,15.556,8.7560005,0.0
2021-01-05 00:00:00+00:00,14.7560005,7.656,1.6
2021-01-06 00:00:00+00:00,14.056,7.506,0.0
2021-01-07 00:00:00+00:00,15.2560005,8.706,0.0
2021-01-08 00:00:00+00:00,17.006,10.956,0.0
2021-01-09 00:00:00+00:00,15.0060005,9.0060005,12.1
2021-01-10 00:00:00+00:00,9.606,8.806,26.500002
2021-01-11 00:00:00+00:00,17.856,9.356,3.4000003
2021-01-12 00:00:00+00:00,17.556,8.856,25.4
2021-01-13 00:00:00+00:00,9.456,5.2060003,7.4999976
2021-01-14 00:00:00+00:00,5.806,3.0059998,1.3000001
2021-01-15 00:00:00+00:00,5.7060003,0.356,4.6000004
2021-01-16 00:00:00+00:00,5.606,0.40600002,7.5000005
2021-01-17 00:00:00+00:00,1.956,-2.894,1.0
2021-01-18 00:00:00+00:00,1.906,-3.344,0.0
2021-01-19 00:00:00+00:00,3.306,-4.7939997,0.0
2021-01-20 00:00:00+00:00,5.806,-2.344,0.0
2021-01-21 00:00:00+00:00,10.056,5.9560003,0.0
2021-01-22 00:00:00+00:00,13.156,8.7560005,0.0
2021-01-23 00:00:00+00:00,14.2560005,8.706,0.0
2021-01-24 00:00:00+00:00,13.306,9.106,2.0
2021-01-25 00:00:00+00:00,13.356,10.906,5.6999993
2021-01-26 00:00:00+00:00,14.056,9.956,2.4
2021-01-27 00:00:00+00:00,11.456,1.556,17.1
2021-01-28 00:00:00+00:00,4.556,0.0059999973,0.39999998
2021-01-29 00:00:00+00:00,8.906,3.056,0.0
2021-01-30 00:00:00+00:00,10.106,6.106,11.000001
2021-01-31 00:00:00+00:00,13.206,7.306,0.0
2021-02-01 00:00:00+00:00,17.306,9.106,0.2
2021-02-02 00:00:00+00:00,15.856,9.156,4.3999996
2021-02-03 00:00:00+00:00,14.356,6.7060003,0.2
2021-02-04 00:00:00+00:00,13.5060005,6.606,0.0
2021-02-05 00:00:00+00:00,14.7560005,6.656,0.0
2021-02-06 00:00:00+00:00,14.206,6.756,0.0
2021-02-07 00:00:00+00:00,15.7560005,7.4560003,0.0
2021-02-08 00:00:00+00:00,20.556,13.106,1.0
2021-02-09 00:00:00+00:00,16.656,13.2560005,2.9999998
2021-02-10 00:00:00+00:00,15.5060005,11.056,4.1
2021-02-11 00:00:00+00:00,17.206,12.156,0.4
2021-02-12 00:00:00+00:00,12.056,1.206,13.300001
2021-02-13 00:00:00+00:00,3.106,-0.19399999,0.0
2021-02-14 00:00:00+00:00,2.2059999,0.356,1.2999998
2021-02-15 00:00:00+00:00,2.406,0.556,0.4
2021-02-16 00:00:00+00:00,1.456,-0.694,0.0
2021-02-17 00:00:00+00:00,3.356,-3.4940002,0.0
2021-02-18 00:00:00+00:00,4.9560003,1.006,3.6
2021-02-19 00:00:00+00:00,4.556,-0.944,0.90000004
2021-02-20 00:00:00+00:00,6.606,-1.294,0.0
2021-02-21 00:00:00+00:00,9.456,1.006,0.0
2021-02-22 00:00:00+00:00,10.706,0.0059999973,0.0
2021-02-23 00:00:00+00:00,12.206,2.2059999,0.0
2021-02-24 00:00:00+00:00,8.2560005,3.856,0.0
2021-02-25 00:00:00+00:00,10.0060005,3.7559998,0.0
2021-02-26 00:00:00+00:00,14.0060005,3.4559999,0.0
2021-02-27 00:00:00+00:00,11.0060005,2.406,0.0
2021-02-28 00:00:00+00:00,8.656,3.606,0.2
2021-03-01 00:00:00+00:00,9.856,5.056,2.4
2021-03-02 00:00:00+00:00,7.656,4.606,1.7000002
2021-03-03 00:00:00+00:00,10.106,0.606,0.0
2021-03-04 00:00:00+00:00,9.656,0.356,0.0
2021-03-05 00:00:00+00:00,14.5060005,6.606,0.0
2021-03-06 00:00:00+00:00,13.106,5.356,14.400001
2021-03-07 00:00:00+00:00,6.856,0.506,2.5
2021-03-08 00:00:00+00:00,8.2560005,-0.49399996,0.0
2021-03-09 00:00:00+00:00,12.556,2.156,0.0
2021-03-10 00:00:00+00:00,14.2560005,6.356,4.9000006
2021-03-11 00:00:00+00:00,7.856,4.356,8.0
2021-03-12 00:00:00+00:00,7.856,2.406,0.0
2021-03-13 00:00:00+00:00,11.156,2.4559999,0.0
2021-03-14 00:00:00+00:00,14.356,4.406,0.0
2021-03-15 00:00:00+00:00,17.606,7.4560003,3.3000002
2021-03-16 00:00:00+00:00,11.606,7.9560003,11.600001
